ITEM	CAL	FAT	SFAT	TFAT	CHOL	SALT	CARB	FBR	SGR	PRO
Premium McWrap Southwest Chicken (Crispy) 11.7 oz (331 g)	670	32	8	0.5	60	1470	68	5	12	27
Premium McWrap Southwest Chicken (Grilled) 11.2 oz (317 g)	510	19	6	0	80	1300	54	5	10	31
Premium McWrap Chicken & Bacon (Crispy) 11.1 oz (316 g)	630	32	9	0.5	80	1540	56	3	7	32
Premium McWrap Chicken & Bacon (Grilled) 10.7 oz (302 g)	480	19	7	0	95	1370	42	3	6	36
Premium McWrap Chicken & Ranch (Crispy) 10.9 oz (310 g)	610	31	8	0.5	65	1340	56	3	8	27
Premium McWrap Chicken & Ranch (Grilled) 10.5 oz (297 g)	450	18	6	0.5	80	1170	42	3	6	30
Premium McWrap Chicken Sweet Chili (Crispy) 10.7 oz (304 g)	540	23	4.5	0	50	1260	61	3	14	23
Premium McWrap Chicken Sweet Chili (Grilled) 10.3 oz (291 g)	380	10	3	0	65	1090	47	3	12	27
Chipotle BBQ Snack Wrap (Crispy) 4.6 oz (130 g)	340	15	4.5	0	30	780	37	1	8	14
Premium Crispy Chicken Classic Sandwich 7.5 oz (213 g)	510	22	3.5	0	45	990	55	3	10	24
Premium Grilled Chicken Classic Sandwich 7 oz (200 g)	350	9	2	0	65	820	42	3	8	28
Premium Crispy Chicken Club Sandwich 8.8 oz (249 g)	670	33	9	0	85	1410	58	3	11	36
Premium Grilled Chicken Club Sandwich 8.3 oz (235 g)	510	20	7	0	105	1250	44	3	9	40
Premium Crispy Chicken Ranch BLT Sandwich 8.1 oz (230 g)	610	28	6	0	70	1400	57	3	11	32
Premium Grilled Chicken Ranch BLT Sandwich 7.6 oz (217 g)	450	15	4.5	0	90	1230	43	3	9	36
Chicken McNuggets® (10 piece) 5.7 oz (162 g)	470	30	5	0	65	900	30	2	0	22
Chipotle BBQ Snack Wrap (Grilled) 4.3 oz (123 g)	260	8	3.5	0	40	700	30	1	7	16
Honey Mustard Snack Wrap (Crispy) 4.4 oz (126 g)	340	16	4.5	0	35	750	34	2	5	14
Honey Mustard Snack Wrap (Grilled) 4.2 oz (119 g)	260	9	3.5	0	45	660	27	2	4	16
Ranch Snack Wrap® (Crispy) 4.5 oz (128 g)	360	20	5	0	40	810	32	1	3	15
Chicken McNuggets® (20 piece) 11.4 oz (323 g)	940	59	10	0	135	1800	59	3	0	44
Chicken McNuggets® (6 piece) 3.4 oz (97 g)	280	18	3	0	40	540	18	1	0	13
Chicken McNuggets® (40 piece) 22.8 oz (646 g)	1880	118	20	1	265	3600	118	6	1	87
Premium Bacon Ranch Salad with Crispy Chicken 11.3 oz (321 g)	400	22	6	0	70	880	24	3	7	26
Ranch Snack Wrap® (Grilled) 4.3 oz (121 g)	280	13	4.5	0	45	720	25	1	2	16
Premium Bacon Ranch Salad with Grilled Chicken 10.9 oz (308 g)	240	9	4.5	0	90	720	10	3	5	30
Premium Southwest Salad with Crispy Chicken 12.6 oz (357 g)	480	24	6	0	60	910	43	7	12	25
Premium Southwest Salad with Grilled Chicken 12.1 oz (343 g)	320	11	4	0	75	740	29	7	10	29
Chicken McNuggets® (4 piece) 2.3 oz (65 g)	190	12	2	0	25	360	12	1	0	9
Premium Crispy Chicken Deluxe Sandwich 8 oz (227 g)	530	22	4	0	45	1000	59	3	13	25
Premium Grilled Chicken Deluxe Sandwich 7.5 oz (213 g)	370	9	2	0	65	830	45	3	11	29
Chicken Selects (3 pc) 4.4 oz (124 g)	370	22	3	0	70	680	20	1	0	23
Fruit 'n Yogurt Parfait 5.2 oz (149 g)	150	2	1	0	5	80	30	1	23	4
Steak, Egg & Cheese Bagel 8.5 oz (241 g)	670	35	13	1.5	295	1510	56	3	7	33
Steak & Egg Biscuit (Regular Biscuit) 7.1 oz (201 g)	540	32	16	1	280	1470	38	2	3	25
Sausage McMuffin® with Egg 5.7 oz (161 g)	450	28	10	0	285	860	30	4	2	21
Hotcakes and Sausage 6.8 oz (192 g)	520	24	7	0	50	930	61	3	14	15
